symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,blue_weekly,max_blue_weekly,blue_weeks,lired_daily,lired_days,lired_weekly,lired_weeks,company_name
VLRS,4.38,620223.0,271.657674,0.04839680210438116,0.04839680210438116,0,225.94097415591483,225.94097415591483,3,0.0,0,0.0,0,"CONTROLADORA VUELA COMPAÑÍA DE AVIACIÓN, S.A.B. DE C.V."
SOXS,25.75,43511727.0,112042.697025,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,Direxion Daily Semiconductor Bear 3X Shares
SCMB,24.96,1165574.0,2909.2727040000004,0.0,0.0,0,0.0,250.6623455541039,3,0.0,0,0.0,0,Schwab Municipal Bond ETF
BOOT,91.27,404693.0,3693.633011,0.0,115.33358866784424,0,293.9856619548319,293.9856619548319,3,0.0,0,0.0,0,"Boot Barn Holdings, Inc."
GBX,43.33,334809.0,1450.7273969999999,0.0,0.0,0,0.0,178.385233147879,2,0.0,0,0.0,0,"The Greenbrier Companies, Inc."
AEIS,87.11,128912.0,1122.952432,0.0,0.0,0,0.0,236.74411880902724,2,0.0,0,0.0,0,Advanced Energy Industries Inc
RRX,99.06,461861.0,4575.195066,0.0,0.0,0,0.0,212.09128334906396,2,0.0,0,0.0,0,Regal Rexnord Corporation
SQY,10.49,125860.0,132.02714,234.69763187471995,234.69763187471995,2,261.9943442434276,261.9943442434276,4,0.0,0,0.0,0,YieldMax SQ Option Income Strategy ETF
GLPI,49.81,417113.0,2077.639853,0.0,0.0,0,0.0,268.89756242227566,2,0.0,0,0.0,0,"Gaming and Leisure Properties, Inc."
TTD,50.23,10765156.0,54073.378588,0.0,0.0,0,0.0,339.71340477011626,3,0.0,0,0.0,0,"The Trade Desk, Inc."
HPP,2.31,1087383.0,251.185473,0.0,82.77865281841346,0,0.0,243.8775226625506,2,0.0,0,0.0,0,"Hudson Pacific Properties, Inc."
RSLS,0.3073,3624286.0,111.37430878,0.0,0.0,0,0.0,332.94984574186884,3,0.0,0,0.0,0,"ReShape Lifesciences, Inc. Common Stock"
DUO,0.239,9167504.0,219.10334559999998,0.0,0.0,0,0.0,269.53732312996436,4,0.0,0,0.0,0,Fangdd Network Group Ltd. Class A Ordinary Shares
BSVO,17.785,223536.0,397.558776,0.0,0.0,0,0.0,317.69151270105624,2,0.0,0,0.0,0,EA Bridgeway Omni Small-Cap Value ETF
SKE,12.255,272213.0,333.5970315,0.0,0.0,0,0.0,0.0,0,0.0,4,-259.6168708497885,2,Skeena Resources Limited
MLTX,37.91,173088.0,656.1766079999999,0.0,0.0,0,0.0,162.61109785938356,2,0.0,0,0.0,0,MoonLake Immunotherapeutics Class A Ordinary Shares
VTOL,29.36,64024.0,187.97446399999998,0.0,0.0,0,0.0,235.97308227419853,2,0.0,0,0.0,0,Bristow Group Inc.
CMRX,8.545,409163.0,349.6297835,0.0,0.0,0,0.0,0.0,0,-240.35283459209788,4,-350.0,5,"Chimerix, Inc."
BLNK,0.6878,2607291.0,179.32947498,0.0,0.0,0,0.0,344.88943141728964,3,0.0,0,0.0,0,Blink Charging Co. Common Stock
QQQY,23.7385,43594.0,103.48561689999998,0.0,280.6549257815956,1,0.0,350.0,3,0.0,0,0.0,0,Tidal Trust II Defiance Nasdaq 100 Enhanced Options & 0DTE Income ETF
RWR,94.92,56168.0,533.146656,0.0,0.0,0,0.0,261.8244504373213,2,0.0,0,0.0,0,SPDR Dow Jones REIT ETF
XCCC,36.2954,36474.0,132.38384196,0.0,0.0,0,0.0,239.30479676431344,2,0.0,0,0.0,0,BondBloxx CCC-Rated USD High Yield Corporate Bond ETF
DTD,72.9374,21202.0,154.64187548,0.0,0.0,0,0.0,206.5935187074755,2,0.0,0,0.0,0,WisdomTree U.S. Total Dividend Fund
PAPI,25.32,98070.0,248.31323999999998,0.0,0.0,0,0.0,266.3211045531987,2,0.0,0,0.0,0,Parametric Equity Premium Income ETF
CMND,1.1,9525217.0,1047.7738700000002,0.0,100.43834558011221,0,0.0,156.30957151455868,2,0.0,0,0.0,0,Clearmind Medicine Inc. Common Shares
RDY,13.705,1107760.0,1518.18508,0.0,0.0,0,0.0,205.16142768089722,2,0.0,0,0.0,0,Dr. Reddy's Laboratories Limited American Depositary Shares
CSL,355.6,110557.0,3931.4069200000004,0.0,0.0,0,0.0,165.4633937112683,2,0.0,0,0.0,0,"Carlisle Companies, Inc."
PONY,4.52,927543.0,419.24943599999995,326.6422111121388,326.6422111121388,4,304.41349094893457,304.41349094893457,4,0.0,0,0.0,0,Pony AI Inc. American Depositary Shares
BCE,22.095,1317603.0,2911.2438285,0.0,0.0,0,0.0,188.58074799949233,2,0.0,0,0.0,0,"BCE, Inc."
JGLO,55.8382,83731.0,467.53883241999995,0.0,0.0,0,0.0,261.4503175266657,2,0.0,0,0.0,0,JPMorgan Global Select Equity ETF
TAN,28.19,453168.0,1277.480592,0.0,0.0,0,0.0,212.77026700065053,3,0.0,0,0.0,0,Invesco Solar ETF
DWAS,74.21,27082.0,200.97552199999998,0.0,0.0,0,0.0,236.5131940003021,2,0.0,0,0.0,0,Invesco Exchange-Traded Fund Trust II Invesco Dorsey Wright SmallCap Momentum ETF
PESI,8.46,206818.0,174.96802800000003,0.0,0.0,0,0.0,218.95911964722853,2,-85.74523077614181,0,0.0,0,"Perma-Fix Environmental Services, Inc."
DTE,134.96,526348.0,7103.592608,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,DTE Energy Company
EXAS,42.11,1525675.0,6424.617425,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,Exact Sciences Corp
SIMO,39.28,214489.0,842.512792,0.0,0.0,0,0.0,258.4064276393742,2,0.0,0,0.0,0,Silicon Motion Technology Corporation
SPT,19.45,201233.0,391.39818499999996,0.0,0.0,0,0.0,315.5021716724309,2,0.0,0,0.0,0,"Sprout Social, Inc Class A Common Stock"
MTSR,19.24,882292.0,1697.5298079999998,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,"Metsera, Inc. Common Stock"
NRK,9.94,193943.0,192.77934199999999,0.0,0.0,0,0.0,201.78442577025936,3,0.0,0,0.0,0,Nuveen New York AMT-Free Quality Municipal Income Fund
SEE,26.395,584330.0,1542.339035,0.0,0.0,0,0.0,175.664212616656,3,0.0,0,0.0,0,Sealed Air Corp.
SMC,29.115,35507.0,103.3786305,0.0,404.3885982573839,1,0.0,303.54870963526525,2,0.0,0,0.0,0,Summit Midstream Corporation
ABM,46.28,246321.0,1139.973588,0.0,0.0,0,0.0,321.74938141431767,2,0.0,0,0.0,0,"ABM Industries, Inc."
STGW,5.435,451417.0,245.3451395,0.0,0.0,0,0.0,208.9251108672323,2,0.0,0,0.0,0,Stagwell Inc. Class A Common Stock
CRL,104.74,771885.0,8084.723489999999,0.0,134.08209717390585,0,0.0,274.6519604255595,3,0.0,0,0.0,0,Yahoo Finance
IGPT,37.84,27011.0,102.209624,0.0,0.0,0,0.0,290.5065753775101,2,0.0,0,0.0,0,Invesco AI and Next Gen Software ETF
LYB,57.34,2351784.0,13485.129456,0.0,0.0,0,0.0,173.52831204871262,4,0.0,0,0.0,0,LyondellBasell Industries N.V.
