symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,blue_weekly,max_blue_weekly,blue_weeks,lired_daily,lired_days,lired_weekly,lired_weeks,company_name
VLRS,4.65,598636.0,278.36574,0.0,0.05434211030914898,0,0.0,225.94097415591483,3,0.0,0,0.0,0,"CONTROLADORA VUELA COMPAÑÍA DE AVIACIÓN, S.A.B. DE C.V."
AMRC,9.635,313154.0,301.723879,0.0,288.62474834146616,1,0.0,249.67501831992482,2,0.0,0,0.0,0,"Ameresco, Inc."
SOXS,22.0701,73717024.0,162694.20913824,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,Direxion Daily Semiconductor Bear 3X Shares
SCMB,24.955,663917.0,1656.8048735,0.0,0.0,0,0.0,250.6623455541039,3,0.0,0,0.0,0,Schwab Municipal Bond ETF
BOOT,99.225,1111353.0,11027.4001425,0.0,122.75014271935964,0,0.0,293.985661954832,3,0.0,0,0.0,0,"Boot Barn Holdings, Inc."
AEIS,92.78,139426.0,1293.5944279999999,0.0,0.0,0,0.0,236.7441188090274,2,0.0,0,0.0,0,Advanced Energy Industries Inc
GBX,43.15,253506.0,1093.87839,0.0,0.0,0,0.0,178.385233147879,2,0.0,0,0.0,0,"The Greenbrier Companies, Inc."
EETH,33.59,95542.0,320.92557800000003,0.0,0.0,0,0.0,325.87907007744593,3,0.0,0,0.0,0,ProShares Ether ETF
SQY,10.49,125860.0,132.02714,234.69763187471995,234.69763187471995,2,261.9943442434276,261.9943442434276,4,0.0,0,0.0,0,YieldMax SQ Option Income Strategy ETF
CECO,19.095,140911.0,269.0695545,0.0,178.0751538147469,1,0.0,350.0,2,0.0,0,0.0,0,Ceco Environmental Corp
RRX,104.12,350287.0,3647.1882440000004,0.0,0.0,0,0.0,212.09128334906396,2,0.0,0,0.0,0,Regal Rexnord Corporation
GLPI,49.3,917091.0,4521.258629999999,0.0,0.0,0,0.0,268.8975624245174,2,0.0,0,0.0,0,"Gaming and Leisure Properties, Inc."
HPP,2.265,1019798.0,230.984247,0.0,0.0,0,0.0,243.87752271421334,2,0.0,0,0.0,0,"Hudson Pacific Properties, Inc."
RSLS,0.4031,2826394.0,113.93194214,0.0,0.0,0,0.0,332.94984574186884,2,0.0,0,0.0,0,"ReShape Lifesciences, Inc. Common Stock"
MVBF,16.55,82688.0,136.84864000000002,0.0,0.25290946944153875,0,0.0,190.0704719161668,3,0.0,0,0.0,0,MVB Financial Corp. Common Stock
BSVO,18.195,231235.0,420.73208250000005,0.0,0.0,0,0.0,317.69151270105624,2,0.0,0,0.0,0,EA Bridgeway Omni Small-Cap Value ETF
TTD,50.785,6592031.0,33477.6294335,0.0,0.0,0,0.0,339.7134047675641,2,0.0,0,0.0,0,"The Trade Desk, Inc."
MLTX,40.12,281610.0,1129.8193199999998,0.0,0.0,0,0.0,162.61109785938356,2,0.0,0,0.0,0,MoonLake Immunotherapeutics Class A Ordinary Shares
SKE,11.965,291735.0,349.0609275,0.0,0.0,0,0.0,0.0,0,0.0,3,0.0,2,Skeena Resources Limited
VTOL,28.56,91897.0,262.457832,0.0,0.0,0,0.0,235.97308227419853,2,0.0,0,0.0,0,Bristow Group Inc.
BLNK,0.7249,2454724.0,177.94294276,0.0,0.0,0,0.0,344.88943141728964,3,0.0,0,0.0,0,Blink Charging Co. Common Stock
QQQY,23.78,94434.0,224.564052,0.0,0.0,0,0.0,350.0,3,0.0,0,0.0,0,Tidal Trust II Defiance Nasdaq 100 Enhanced Options & 0DTE Income ETF
RWR,94.66,87876.0,831.834216,0.0,0.0,0,0.0,261.82445838660993,2,0.0,0,0.0,0,SPDR Dow Jones REIT ETF
